N,t_h,m
7,8.558868315070201,0.5714285714285714
7,8.581812582223478,0.42857142857142855
7,8.584650281108111,0.5714285714285714
7,8.595947051534056,0.7142857142857143
7,8.754208962561744,0.5714285714285714
7,8.754427111053749,0.42857142857142855
7,8.793934508687233,0.2857142857142857
7,8.79524468888407,0.14285714285714285
7,8.80644676269076,0.2857142857142857
7,8.83737145456833,0.42857142857142855
7,8.861353558123435,0.5714285714285714
7,8.937702152229269,0.42857142857142855
7,8.94279917645517,0.2857142857142857
7,8.954452387425256,0.42857142857142855
7,9.004394599514542,0.5714285714285714
7,9.07150167467874,0.7142857142857143
7,9.079559171588702,0.8571428571428571
7,9.086953906388542,1.0
7,9.16562740092466,0.8571428571428571
7,9.202325224760946,0.7142857142857143
7,9.212971860952758,0.8571428571428571
7,9.253442460603793,0.7142857142857143
7,9.275224575853155,0.5714285714285714
7,9.275375188980329,0.7142857142857143
7,9.288500303830899,0.5714285714285714
7,9.367886658503698,0.7142857142857143
7,9.391665874311771,0.8571428571428571
7,9.521437584546382,1.0
7,9.734323944030914,0.8571428571428571
7,9.786180997364724,0.7142857142857143
7,9.789641715405052,0.8571428571428571
7,9.81541767259761,0.7142857142857143
7,9.817534856033634,0.8571428571428571
7,9.820425286462473,0.7142857142857143
7,9.842605329855946,0.8571428571428571
7,9.990139085642932,0.7142857142857143
7,10.050123847023656,0.5714285714285714
7,10.07037764984804,0.7142857142857143
7,10.088933874600643,0.5714285714285714
7,10.203655248087337,0.7142857142857143
7,10.229999614833128,0.5714285714285714
7,10.272960893573122,0.7142857142857143
7,10.389213650004626,0.8571428571428571
7,10.390922717823107,1.0
7,10.397609958480855,0.8571428571428571
7,10.398644605680703,0.7142857142857143
7,10.429350199729916,0.5714285714285714
7,10.491945875072021,0.42857142857142855
7,10.525798768769425,0.5714285714285714
7,10.529053267809841,0.42857142857142855
7,10.54483514126428,0.2857142857142857
7,10.606855020936775,0.42857142857142855
7,10.692180270062384,0.5714285714285714
7,10.695848938390428,0.42857142857142855
7,10.722051892853113,0.5714285714285714
7,10.924223740440102,0.7142857142857143
7,10.92780206736677,0.5714285714285714
7,11.010059620033639,0.42857142857142855
7,11.111773285558625,0.5714285714285714
7,11.148122042504337,0.7142857142857143
7,11.175886373698376,0.8571428571428571
7,11.197239130023236,0.7142857142857143
7,11.243753194675019,0.8571428571428571
7,11.254204292999194,0.7142857142857143
7,11.27939115020475,0.5714285714285714
7,11.39773384255146,0.7142857142857143
7,11.56821615260155,0.8571428571428571
7,11.690235308728951,0.7142857142857143
7,11.820637941797521,0.5714285714285714
7,11.852812071317494,0.42857142857142855
7,11.880602423398194,0.2857142857142857
7,11.900710636583106,0.14285714285714285
7,11.90598399683669,0.2857142857142857
7,11.95531582832356,0.42857142857142855
7,11.960828355438146,0.2857142857142857
7,11.970812418720755,0.42857142857142855
7,12.113790660628382,0.2857142857142857
7,12.199195468694496,0.42857142857142855
7,12.234171345770294,0.5714285714285714
7,12.360004133572064,0.7142857142857143
7,12.36029317792573,0.5714285714285714
7,12.38598012245875,0.7142857142857143
7,12.39305978298569,0.5714285714285714
7,12.397785520770967,0.7142857142857143
7,12.40971629600795,0.8571428571428571
7,12.479668283947952,0.7142857142857143
7,12.52777572188293,0.5714285714285714
7,12.569005353284302,0.7142857142857143
7,12.731791372544032,0.8571428571428571
7,12.833322608922362,0.7142857142857143
7,13.05632836949461,0.8571428571428571
7,13.104796478264861,0.7142857142857143
7,13.1623873648333,0.5714285714285714
7,13.167646441582734,0.7142857142857143
7,13.205701282365036,0.8571428571428571
7,13.21579947481607,0.7142857142857143
7,13.23191498836758,0.5714285714285714
7,13.239638980671094,0.42857142857142855
7,13.244972977149237,0.5714285714285714
7,13.319366440984153,0.7142857142857143
7,13.410979720320702,0.5714285714285714
7,13.456859052714439,0.42857142857142855
7,13.525870936697828,0.5714285714285714
7,13.5270715479193,0.7142857142857143
7,13.562085526687113,0.5714285714285714
7,13.641050432281995,0.7142857142857143
7,13.642276047506119,0.5714285714285714
7,13.767986516208905,0.7142857142857143
7,13.858196234365256,0.8571428571428571
7,13.86091425292579,1.0
7,13.874742017777637,0.8571428571428571
7,13.961736168628363,0.7142857142857143
7,13.973901979414837,0.8571428571428571
7,14.002184804715624,0.7142857142857143
7,14.030847643275829,0.8571428571428571
7,14.042881540554964,1.0
7,14.124484529938032,0.8571428571428571
7,14.171226307540799,1.0
7,14.338488546677338,0.8571428571428571
7,14.428023244689825,0.7142857142857143
7,14.525419197176099,0.5714285714285714
7,14.681777939949699,0.7142857142857143
7,14.71926802570191,0.8571428571428571
7,14.738336750451294,1.0
7,14.81408982665511,0.8571428571428571
7,14.846954772949243,1.0
7,14.899538696090438,0.8571428571428571
7,14.955628456242188,0.7142857142857143
7,14.978750490986112,0.5714285714285714
7,14.980049572555373,0.7142857142857143
7,14.999924443048139,0.5714285714285714
7,15.031764048319474,0.42857142857142855
7,15.065521771392142,0.5714285714285714
7,15.11479724032006,0.7142857142857143
7,15.151636576098893,0.5714285714285714
7,15.151771037828158,0.7142857142857143
7,15.189930408593984,0.8571428571428571
7,15.328348316189409,0.7142857142857143
7,15.3803455161278,0.5714285714285714
7,15.463689960284583,0.7142857142857143
7,15.492708147650813,0.8571428571428571
7,15.497249624643969,0.7142857142857143
7,15.538996848128637,0.5714285714285714
7,15.546344332357574,0.42857142857142855
7,15.563703500854707,0.5714285714285714
7,15.727153928984702,0.42857142857142855
7,15.817285992526497,0.5714285714285714
7,15.85790523411745,0.7142857142857143
7,15.91265077465054,0.5714285714285714
7,15.973960776986953,0.7142857142857143
7,16.07790566722547,0.8571428571428571
7,16.120712176433287,0.7142857142857143
7,16.135471532433865,0.5714285714285714
7,16.242739383077506,0.7142857142857143
7,16.27097880342514,0.5714285714285714
7,16.381972272129293,0.42857142857142855
7,16.41104719380907,0.2857142857142857
7,16.50622785415988,0.42857142857142855
7,16.51933059942999,0.5714285714285714
7,16.526748781618977,0.42857142857142855
7,16.53188125279979,0.2857142857142857
7,16.598019984930183,0.14285714285714285
7,16.687762975005555,0.0
