gene_symbol,NE_pluripotency_score,E8_self_renewal_score
ATXN7,1.0,0.0103441878857159
DR1,1.0,-0.3278759493179231
LRRC15,1.0,0.3611480297088571
CONTROL984,1.0,0.2253774301260783
NARR,1.0,0.1241260195920482
RAB11FIP2,1.0,0.2964325092064117
ABCC6,1.0,-0.049758397563672
WDR47,1.0,0.2385595669138469
ANHX,1.0,-0.2082269424476344
MECOM,1.0,0.0279913596479271
EXTL3,1.0,0.3184623770680972
PIGF,1.0,0.3711145121531677
CELF3,1.0,-0.0996320884561573
LRP5L,1.0,0.050461861095413
AVPR2,1.0,-0.0584169005753869
MS4A14,1.0,0.610924094251123
LRRC40,1.0,-0.0872925972846359
THAP11,1.0,-0.0050031547848542
SALL4,1.0,0.363285785894012
ACAT1,1.0,-0.2603235276875585
CCNC,1.0,0.2366060676815574
ZSCAN32,1.0,-0.4441470672607424
LOC149373,1.0,-0.4102853016218811
BOP1,1.0,0.1041234598928955
FSHB,1.0,0.1651711660897828
RPUSD2,1.0,-0.2231248241390959
GPAT2,1.0,0.421075252172174
ZNF281,1.0,-0.3485918428971892
EVX1,1.0,0.3563773757642676
SLTM,1.0,-0.2943712811407404
RNF123,1.0,0.2970370119528854
FAM160A2,1.0,0.1166617884886827
CXORF58,1.0,0.1144522541682147
RAB35,1.0,-0.3581307623365917
TRPT1,1.0,-0.596189628166234
CGGBP1,1.0,-0.2370742066016781
C4BPA,1.0,-0.0319187151567431
SPATS2L,1.0,0.2780683264239957
CONTROL899,1.0,0.1737843650326978
ELF4,1.0,0.2234370309365178
DAZ4,1.0,-0.614270308192267
SNX21,1.0,0.1347164129180348
L3MBTL1,1.0,0.4573236110388897
CONTROL750,1.0,-0.2745570751658379
SIRT5,1.0,-0.0801011206551192
ZNF517,1.0,0.1070246223622478
SPRY4,1.0,0.0368726655030561
ATG16L1,1.0,-0.0439029730902918
CONTROL305,1.0,-0.0612805235034276
VN1R4,1.0,0.4486613719891215
XIAP,1.0,0.1304111395207595
UPF2,1.0,-0.4827075607148998
TUSC3,1.0,0.2611872377833498
CONTROL241,1.0,-0.0297085914419109
TOPORS,1.0,0.1164478333047282
ZNF675,1.0,0.0925609548719852
NUP37,1.0,-0.6077754531412077
H1FOO,1.0,-0.3353134331941777
TAOK1,1.0,-0.7179834472012266
ZNF467,1.0,-0.1843235144388738
TLN2,1.0,0.1378525531237854
FLII,1.0,-0.2518239422457382
FTHL17,1.0,-0.4466974734485233
RFX1,1.0,-0.331675184557688
OR2AG2,1.0,0.1341590703416975
CONTROL699,1.0,0.2736649492649754
CPXCR1,1.0,0.1545128309034133
NTSR2,1.0,0.1947057489615406
CONTROL260,1.0,0.3153979647306595
TAS2R30,1.0,0.4835545769811336
DOK4,1.0,0.3945355911429165
SLC29A3,1.0,-0.2451733562280153
ADAMTS3,1.0,0.4968612736583471
CUZD1,1.0,0.2635177074862096
TM4SF20,1.0,0.0088885690732211
TRAF4,1.0,-0.1400038293266099
GTF3C2,1.0,0.1637307355606172
SLC47A2,1.0,0.1940958959622966
